"_raw",host,index,source,sourcetype,time
"{""componentId"": ""vsphere-client"", ""createdTime"": ""2016-06-22 12:46:11.435000+00:00"", ""key"": ""146435"", ""componentName"": ""vsphere-client"", ""oldStatus"": ""yellow"", ""serviceId"": ""vsphere-client"", ""fullFormattedMessage"": ""vsphere-client status changed from yellow to green"", ""userName"": ""None"", ""chainId"": ""146435"", ""eventClass"": ""HealthStatusChangedEvent"", ""newStatus"": ""green""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:46:11"
"{""to"": ""green"", ""createdTime"": ""2016-06-22 12:46:12.461999+00:00"", ""key"": ""146437"", ""source"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""userName"": ""None"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""from"": ""yellow"", ""alarm"": {""name"": ""vSphere Client Health Alarm"", ""alarm"": {""moid"": ""alarm-70"", ""type"": ""Alarm""}}, ""fullFormattedMessage"": ""Alarm 'vSphere Client Health Alarm' on Datacenters changed from Yellow to Green"", ""chainId"": ""146437"", ""eventClass"": ""AlarmStatusChangedEvent""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:47:12"
"{""message"": ""None"", ""severity"": ""None"", ""objectType"": ""Folder"", ""objectName"": ""Datacenters"", ""arguments"": [{""alarm"": {""name"": ""Health status changed alarm"", ""alarm"": {""moid"": ""alarm-29"", ""type"": ""Alarm""}}}, {""alarmEntity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}}, {""triggeredEntity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}}, {""triggerEventKey"": ""146435""}, {""triggerEventDescription"": ""vsphere-client status changed from yellow to green""}], ""createdTime"": ""2016-06-22 12:46:12.458999+00:00"", ""key"": ""146436"", ""userName"": ""None"", ""objectId"": ""group-d1"", ""fullFormattedMessage"": ""Alarm 'Health status changed alarm' on Datacenters triggered by event 146435 'vsphere-client status changed from yellow to green'"", ""chainId"": ""146436"", ""eventClass"": ""EventEx"", ""eventTypeId"": ""com.vmware.vc.StatelessAlarmTriggeredEvent""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:48:12"
"{""arguments"": [{""1"": ""vmhba37:C0:T4:L0""}, {""2"": ""t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________""}, {""3"": {""datastore"": {""moid"": ""datastore-12"", ""type"": ""Datastore""}, ""name"": ""6.0 iSCSI""}}], ""eventTypeId"": ""esx.problem.storage.connectivity.pathpor"", ""key"": ""146445"", ""ds"": {""datastore"": {""moid"": ""datastore-12"", ""type"": ""Datastore""}, ""name"": ""6.0 iSCSI""}, ""userName"": ""None"", ""computeResource"": {""computeResource"": {""moid"": ""domain-c7"", ""type"": ""ClusterComputeResource""}, ""name"": ""APPS-ESXi60""}, ""severity"": ""None"", ""host"": {""host"": {""moid"": ""host-10"", ""type"": ""HostSystem""}, ""name"": ""apps-esxi60-1.sv.splunk.com""}, ""message"": ""None"", ""objectName"": ""None"", ""fullFormattedMessage"": ""Frequent PowerOn Reset Unit Attentions are occurring on path vmhba37:C0:T4:L0. This might indicate a storage problem. Affected device: t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________.  Affected datastores: 6.0 iSCSI"", ""eventClass"": ""EventEx"", ""chainId"": ""146445"", ""createdTime"": ""2016-06-22 12:50:28.905999+00:00"", ""objectType"": ""Datastore"", ""objectId"": ""datastore-12"", ""datacenter"": {""datacenter"": {""moid"": ""datacenter-2"", ""type"": ""Datacenter""}, ""name"": ""APPS-VCENTER60""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:50:28"
"{""componentId"": ""vmware-dataservice-sca"", ""serviceId"": ""vmware-dataservice-sca"", ""fullFormattedMessage"": ""vmware-dataservice-sca status changed from green to yellow"", ""newStatus"": ""yellow"", ""key"": ""146438"", ""eventClass"": ""HealthStatusChangedEvent"", ""chainId"": ""146438"", ""createdTime"": ""2016-06-22 12:50:39.606000+00:00"", ""userName"": ""None"", ""oldStatus"": ""green"", ""componentName"": ""vmware-dataservice-sca""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:51:39"
"{""fullFormattedMessage"": ""Alarm 'Data Service Health Alarm': an SNMP trap for entity Datacenters was sent"", ""key"": ""146444"", ""eventClass"": ""AlarmSnmpCompletedEvent"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""chainId"": ""146444"", ""createdTime"": ""2016-06-22 12:50:40.551999+00:00"", ""userName"": ""None"", ""alarm"": {""alarm"": {""moid"": ""alarm-77"", ""type"": ""Alarm""}, ""name"": ""Data Service Health Alarm""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:52:40"
"{""fullFormattedMessage"": ""Alarm 'Health status changed alarm': an SNMP trap for entity Datacenters was sent"", ""key"": ""146443"", ""eventClass"": ""AlarmSnmpCompletedEvent"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""chainId"": ""146443"", ""createdTime"": ""2016-06-22 12:50:40.548999+00:00"", ""userName"": ""None"", ""alarm"": {""alarm"": {""moid"": ""alarm-29"", ""type"": ""Alarm""}, ""name"": ""Health status changed alarm""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:53:40"
"{""fullFormattedMessage"": ""Alarm 'Data Service Health Alarm' on Datacenters triggered an action"", ""key"": ""146442"", ""eventClass"": ""AlarmActionTriggeredEvent"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""chainId"": ""146442"", ""createdTime"": ""2016-06-22 12:50:40.549999+00:00"", ""source"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""userName"": ""None"", ""alarm"": {""alarm"": {""moid"": ""alarm-77"", ""type"": ""Alarm""}, ""name"": ""Data Service Health Alarm""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:54:40"
"{""to"": ""yellow"", ""fullFormattedMessage"": ""Alarm 'Data Service Health Alarm' on Datacenters changed from Green to Yellow"", ""key"": ""146441"", ""eventClass"": ""AlarmStatusChangedEvent"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""from"": ""green"", ""chainId"": ""146441"", ""createdTime"": ""2016-06-22 12:50:40.549999+00:00"", ""source"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""userName"": ""None"", ""alarm"": {""alarm"": {""moid"": ""alarm-77"", ""type"": ""Alarm""}, ""name"": ""Data Service Health Alarm""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:55:40"
"{""fullFormattedMessage"": ""Alarm 'Health status changed alarm' on Datacenters triggered an action"", ""key"": ""146440"", ""eventClass"": ""AlarmActionTriggeredEvent"", ""entity"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""chainId"": ""146440"", ""createdTime"": ""2016-06-22 12:50:40.545000+00:00"", ""source"": {""entity"": {""moid"": ""group-d1"", ""type"": ""Folder""}, ""name"": ""Datacenters""}, ""userName"": ""None"", ""alarm"": {""alarm"": {""moid"": ""alarm-29"", ""type"": ""Alarm""}, ""name"": ""Health status changed alarm""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:events","2016-06-22 05:56:40"
