"_raw",host,index,source,sourcetype,time
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-22"", ""datastore_name"": ""apps-esxi41-4 Local \u6d4b\u8bd5Mein Fu\u00df tut weh"", ""datastore_url"": ""ds:///vmfs/volumes/5294d8cb-1ecb1ad5-b8b5-002590d44773/"", ""changeSet"": {""host"": {""DatastoreHostMount"": [{""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/5294d8cb-1ecb1ad5-b8b5-002590d44773"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-21"", ""type"": ""HostSystem""}}]}, ""iormConfiguration"": {""reservationEnabled"": ""True"", ""statsCollectionEnabled"": ""True"", ""statsAggregationDisabled"": ""False"", ""percentOfPeakThroughput"": ""90"", ""congestionThresholdMode"": ""automatic"", ""enabled"": ""False"", ""congestionThreshold"": ""30""}, ""summary"": {""freeSpace"": ""119645667328"", ""uncommitted"": ""57114001943"", ""datastore"": {""moid"": ""datastore-22"", ""type"": ""Datastore""}, ""capacity"": ""122675003392"", ""maintenanceMode"": ""normal"", ""multipleHostAccess"": ""False"", ""accessible"": ""False"", ""name"": ""apps-esxi41-4 Local \u6d4b\u8bd5Mein Fu\u00df tut weh"", ""url"": ""ds:///vmfs/volumes/5294d8cb-1ecb1ad5-b8b5-002590d44773/"", ""type"": ""VMFS""}, ""parent"": {""moid"": ""group-s5"", ""type"": ""Folder""}, ""name"": ""apps-esxi41-4 Local \u6d4b\u8bd5Mein Fu\u00df tut weh"", ""vm"": {""ManagedObjectReference"": [{""moid"": ""vm-71"", ""type"": ""VirtualMachine""}]}, ""info"": {""maxVirtualDiskCapacity"": ""68169720922112"", ""freeSpace"": ""119645667328"", ""maxFileSize"": ""69201586814976"", ""timestamp"": ""2016-06-13 22:34:29.942073+00:00"", ""url"": ""ds:///vmfs/volumes/5294d8cb-1ecb1ad5-b8b5-002590d44773/"", ""maxMemoryFileSize"": ""70368744177664"", ""vmfs"": {""vmfsUpgradable"": ""False"", ""maxBlocks"": ""63963136"", ""name"": ""apps-esxi41-4 Local \u6d4b\u8bd5Mein Fu\u00df tut weh"", ""local"": ""True"", ""version"": ""5.61"", ""uuid"": ""5294d8cb-1ecb1ad5-b8b5-002590d44773"", ""extent"": [{""diskName"": ""t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756818L_____"", ""partition"": ""3""}], ""capacity"": ""122675003392"", ""blockSizeMb"": ""1"", ""majorVersion"": ""5"", ""type"": ""VMFS"", ""ssd"": ""True""}, ""maxPhysicalRDMFileSize"": ""70368744177664"", ""maxVirtualRDMFileSize"": ""68169720922112"", ""name"": ""apps-esxi41-4 Local \u6d4b\u8bd5Mein Fu\u00df tut weh""}, ""capability"": {""rawDiskMappingsSupported"": ""True"", ""directoryHierarchySupported"": ""True"", ""nativeSnapshotSupported"": ""False"", ""perFileThinProvisioningSupported"": ""True"", ""storageIORMSupported"": ""True"", ""topLevelDirectoryCreateSupported"": ""True"", ""seSparseSupported"": ""True""}}, ""type"": ""Datastore"", ""collectionVersion"": ""1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:52:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-11"", ""datastore_name"": ""apps-esxi41-3 Local"", ""datastore_url"": ""ds:///vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1/"", ""changeSet"": {""host"": {""DatastoreHostMount"": [{""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}]}, ""iormConfiguration"": {""reservationEnabled"": ""True"", ""statsCollectionEnabled"": ""True"", ""statsAggregationDisabled"": ""False"", ""percentOfPeakThroughput"": ""90"", ""congestionThresholdMode"": ""automatic"", ""enabled"": ""False"", ""congestionThreshold"": ""30""}, ""summary"": {""freeSpace"": ""82058412032"", ""uncommitted"": ""305010839734"", ""datastore"": {""moid"": ""datastore-11"", ""type"": ""Datastore""}, ""capacity"": ""122675003392"", ""maintenanceMode"": ""normal"", ""multipleHostAccess"": ""False"", ""accessible"": ""True"", ""name"": ""apps-esxi41-3 Local"", ""url"": ""ds:///vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1/"", ""type"": ""VMFS""}, ""parent"": {""moid"": ""group-s5"", ""type"": ""Folder""}, ""name"": ""apps-esxi41-3 Local"", ""vm"": {""ManagedObjectReference"": [{""moid"": ""vm-108"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-106"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-96"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-100"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-110"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-98"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-94"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-18"", ""type"": ""VirtualMachine""}]}, ""info"": {""maxVirtualDiskCapacity"": ""68169720922112"", ""freeSpace"": ""82058412032"", ""maxFileSize"": ""69201586814976"", ""timestamp"": ""2016-06-20 10:25:42.760760+00:00"", ""url"": ""ds:///vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1/"", ""maxMemoryFileSize"": ""70368744177664"", ""vmfs"": {""vmfsUpgradable"": ""False"", ""maxBlocks"": ""63963136"", ""name"": ""apps-esxi41-3 Local"", ""local"": ""True"", ""version"": ""5.61"", ""uuid"": ""5294d8a9-9dbca4b8-2cee-002590d3fca1"", ""extent"": [{""diskName"": ""t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____"", ""partition"": ""3""}], ""capacity"": ""122675003392"", ""blockSizeMb"": ""1"", ""majorVersion"": ""5"", ""type"": ""VMFS"", ""ssd"": ""True""}, ""maxPhysicalRDMFileSize"": ""70368744177664"", ""maxVirtualRDMFileSize"": ""68169720922112"", ""name"": ""apps-esxi41-3 Local""}, ""capability"": {""rawDiskMappingsSupported"": ""True"", ""directoryHierarchySupported"": ""True"", ""nativeSnapshotSupported"": ""False"", ""perFileThinProvisioningSupported"": ""True"", ""storageIORMSupported"": ""True"", ""topLevelDirectoryCreateSupported"": ""True"", ""seSparseSupported"": ""True""}}, ""type"": ""Datastore"", ""collectionVersion"": ""1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:53:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-13"", ""datastore_name"": ""Apps_NetApp_60"", ""datastore_url"": ""ds:///vmfs/volumes/6ead15c4-fce65468/"", ""changeSet"": {""host"": {""DatastoreHostMount"": [{""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/6ead15c4-fce65468"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-21"", ""type"": ""HostSystem""}}, {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/6ead15c4-fce65468"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}]}, ""iormConfiguration"": {""reservationEnabled"": ""True"", ""statsCollectionEnabled"": ""True"", ""statsAggregationDisabled"": ""False"", ""percentOfPeakThroughput"": ""90"", ""congestionThresholdMode"": ""automatic"", ""enabled"": ""False"", ""congestionThreshold"": ""30""}, ""summary"": {""freeSpace"": ""511441362944"", ""uncommitted"": ""281608585216"", ""datastore"": {""moid"": ""datastore-13"", ""type"": ""Datastore""}, ""capacity"": ""536870912000"", ""maintenanceMode"": ""normal"", ""multipleHostAccess"": ""True"", ""accessible"": ""True"", ""name"": ""Apps_NetApp_60"", ""url"": ""ds:///vmfs/volumes/6ead15c4-fce65468/"", ""type"": ""NFS""}, ""parent"": {""moid"": ""group-s5"", ""type"": ""Folder""}, ""name"": ""Apps_NetApp_60"", ""vm"": {""ManagedObjectReference"": [{""moid"": ""vm-104"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-96"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-100"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-24"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-106"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-23"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-108"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-20"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-102"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-77"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-19"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-94"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-18"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-110"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-98"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-16"", ""type"": ""VirtualMachine""}]}, ""info"": {""maxVirtualDiskCapacity"": ""17383785916071"", ""freeSpace"": ""511441362944"", ""maxFileSize"": ""17557623775232"", ""timestamp"": ""2016-06-22 05:56:22.964593+00:00"", ""maxMemoryFileSize"": ""17557623775232"", ""url"": ""ds:///vmfs/volumes/6ead15c4-fce65468/"", ""nas"": {""remoteHost"": ""10.141.7.10"", ""capacity"": ""536870912000"", ""name"": ""Apps_NetApp_60"", ""remotePath"": ""/datastore01/esxi_60"", ""protocolEndpoint"": ""False"", ""type"": ""NFS"", ""remoteHostNames"": [""10.141.7.10""]}, ""name"": ""Apps_NetApp_60""}, ""capability"": {""rawDiskMappingsSupported"": ""False"", ""directoryHierarchySupported"": ""True"", ""nativeSnapshotSupported"": ""False"", ""perFileThinProvisioningSupported"": ""True"", ""storageIORMSupported"": ""True"", ""topLevelDirectoryCreateSupported"": ""True"", ""seSparseSupported"": ""True""}}, ""type"": ""Datastore"", ""collectionVersion"": ""1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:54:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-12"", ""datastore_name"": ""6.0 iSCSI"", ""datastore_url"": ""ds:///vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0/"", ""changeSet"": {""host"": {""DatastoreHostMount"": [{""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}, {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-21"", ""type"": ""HostSystem""}}]}, ""iormConfiguration"": {""reservationEnabled"": ""True"", ""statsCollectionEnabled"": ""True"", ""statsAggregationDisabled"": ""False"", ""percentOfPeakThroughput"": ""90"", ""congestionThresholdMode"": ""automatic"", ""enabled"": ""False"", ""congestionThreshold"": ""30""}, ""summary"": {""freeSpace"": ""989910269952"", ""uncommitted"": ""1740543660734"", ""datastore"": {""moid"": ""datastore-12"", ""type"": ""Datastore""}, ""capacity"": ""5497289703424"", ""maintenanceMode"": ""normal"", ""multipleHostAccess"": ""True"", ""accessible"": ""True"", ""name"": ""6.0 iSCSI"", ""url"": ""ds:///vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0/"", ""type"": ""VMFS""}, ""parent"": {""moid"": ""group-s5"", ""type"": ""Folder""}, ""name"": ""6.0 iSCSI"", ""vm"": {""ManagedObjectReference"": [{""moid"": ""vm-64"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-45"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-65"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-63"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-50"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-41"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-68"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-40"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-67"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-69"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-43"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-77"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-54"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-56"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-53"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-60"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-48"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-42"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-52"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-89"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-38"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-87"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-85"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-44"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-51"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-58"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-61"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-73"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-33"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-47"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-30"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-31"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-35"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-32"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-36"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-37"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-57"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-29"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-66"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-79"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-28"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-59"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-46"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-55"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-90"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-39"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-34"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-81"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-27"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-83"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-26"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-49"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-62"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-75"", ""type"": ""VirtualMachine""}]}, ""info"": {""maxVirtualDiskCapacity"": ""68169720922112"", ""freeSpace"": ""989910269952"", ""maxFileSize"": ""69201586814976"", ""timestamp"": ""2016-06-21 21:48:00.944784+00:00"", ""url"": ""ds:///vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0/"", ""maxMemoryFileSize"": ""70368744177664"", ""vmfs"": {""vmfsUpgradable"": ""False"", ""maxBlocks"": ""63963136"", ""name"": ""6.0 iSCSI"", ""local"": ""False"", ""version"": ""5.58"", ""uuid"": ""55773780-f18f1608-30dc-002590d3fca0"", ""extent"": [{""diskName"": ""t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________"", ""partition"": ""1""}], ""capacity"": ""5497289703424"", ""blockSizeMb"": ""1"", ""majorVersion"": ""5"", ""type"": ""VMFS"", ""ssd"": ""False""}, ""maxPhysicalRDMFileSize"": ""70368744177664"", ""maxVirtualRDMFileSize"": ""68169720922112"", ""name"": ""6.0 iSCSI""}, ""capability"": {""rawDiskMappingsSupported"": ""True"", ""directoryHierarchySupported"": ""True"", ""nativeSnapshotSupported"": ""False"", ""perFileThinProvisioningSupported"": ""True"", ""storageIORMSupported"": ""True"", ""topLevelDirectoryCreateSupported"": ""True"", ""seSparseSupported"": ""True""}}, ""type"": ""Datastore"", ""collectionVersion"": ""1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:55:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-14"", ""datastore_name"": ""6.0 NFS"", ""datastore_url"": ""ds:///vmfs/volumes/7c930ffd-061e020b/"", ""changeSet"": {""host"": {""DatastoreHostMount"": [{""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/7c930ffd-061e020b"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-21"", ""type"": ""HostSystem""}}, {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/7c930ffd-061e020b"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}]}, ""iormConfiguration"": {""reservationEnabled"": ""True"", ""statsCollectionEnabled"": ""True"", ""statsAggregationDisabled"": ""False"", ""percentOfPeakThroughput"": ""90"", ""congestionThresholdMode"": ""automatic"", ""enabled"": ""False"", ""congestionThreshold"": ""30""}, ""summary"": {""freeSpace"": ""5471392243712"", ""uncommitted"": ""431218353664"", ""datastore"": {""moid"": ""datastore-14"", ""type"": ""Datastore""}, ""capacity"": ""5497558138880"", ""maintenanceMode"": ""normal"", ""multipleHostAccess"": ""True"", ""accessible"": ""True"", ""name"": ""6.0 NFS"", ""url"": ""ds:///vmfs/volumes/7c930ffd-061e020b/"", ""type"": ""NFS""}, ""parent"": {""moid"": ""group-s5"", ""type"": ""Folder""}, ""name"": ""6.0 NFS"", ""vm"": {""ManagedObjectReference"": [{""moid"": ""vm-92"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-91"", ""type"": ""VirtualMachine""}, {""moid"": ""vm-16"", ""type"": ""VirtualMachine""}]}, ""info"": {""maxVirtualDiskCapacity"": ""68169720922112"", ""freeSpace"": ""5471392243712"", ""maxFileSize"": ""70368744177664"", ""timestamp"": ""2016-06-21 22:56:11.960420+00:00"", ""maxMemoryFileSize"": ""70368744177664"", ""url"": ""ds:///vmfs/volumes/7c930ffd-061e020b/"", ""nas"": {""remoteHost"": ""10.141.7.22"", ""capacity"": ""5497558138880"", ""name"": ""6.0 NFS"", ""remotePath"": ""/mnt/tank/6.0_NFS"", ""protocolEndpoint"": ""False"", ""type"": ""NFS"", ""remoteHostNames"": [""10.141.7.22""]}, ""name"": ""6.0 NFS""}, ""capability"": {""rawDiskMappingsSupported"": ""False"", ""directoryHierarchySupported"": ""True"", ""nativeSnapshotSupported"": ""False"", ""perFileThinProvisioningSupported"": ""True"", ""storageIORMSupported"": ""True"", ""topLevelDirectoryCreateSupported"": ""True"", ""seSparseSupported"": ""True""}}, ""type"": ""Datastore"", ""collectionVersion"": ""1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:56:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-11"", ""datastore_name"": ""apps-esxi41-3 Local"", ""datastore_url"": ""ds:///vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1/"", ""changeSet"": {""host"": {""DatastoreHostMount"": {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}}, ""summary"": {""uncommitted"": ""305010839734""}}, ""type"": ""Datastore"", ""collectionVersion"": ""2""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:57:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-12"", ""datastore_name"": ""6.0 iSCSI"", ""datastore_url"": ""ds:///vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0/"", ""changeSet"": {""host"": {""DatastoreHostMount"": {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}}, ""summary"": {""uncommitted"": ""1740543660734""}}, ""type"": ""Datastore"", ""collectionVersion"": ""2""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:58:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-14"", ""datastore_name"": ""6.0 NFS"", ""datastore_url"": ""ds:///vmfs/volumes/7c930ffd-061e020b/"", ""changeSet"": {""host"": {""DatastoreHostMount"": {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/7c930ffd-061e020b"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}}, ""summary"": {""uncommitted"": ""431218353664""}}, ""type"": ""Datastore"", ""collectionVersion"": ""2""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 01:59:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-11"", ""datastore_name"": ""apps-esxi41-3 Local"", ""datastore_url"": ""ds:///vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1/"", ""changeSet"": {""host"": {""DatastoreHostMount"": {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/5294d8a9-9dbca4b8-2cee-002590d3fca1"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}}, ""summary"": {""uncommitted"": ""305010839734""}}, ""type"": ""Datastore"", ""collectionVersion"": ""3""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 02:00:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""moid"": ""datastore-12"", ""datastore_name"": ""6.0 iSCSI"", ""datastore_url"": ""ds:///vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0/"", ""changeSet"": {""host"": {""DatastoreHostMount"": {""mountInfo"": {""accessible"": ""True"", ""mounted"": ""True"", ""path"": ""/vmfs/volumes/55773780-f18f1608-30dc-002590d3fca0"", ""accessMode"": ""readWrite""}, ""key"": {""moid"": ""host-10"", ""type"": ""HostSystem""}}}, ""summary"": {""uncommitted"": ""1740543660734""}}, ""type"": ""Datastore"", ""collectionVersion"": ""3""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Datastore","vmware:inv:datastore","2016-06-22 02:01:37"
