"_raw",host,index,source,sourcetype,time
"{""type"": ""RootFolder"", ""changeSet"": {""parent"": {""type"": ""N/A"", ""moid"": ""N/A""}, ""name"": ""sv3-app-vctr60.sv.splunk.com""}, ""moid"": ""group-d1""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:03:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""ClusterComputeResource"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-h4""}, ""name"": ""APPS-ESXi60""}, ""moid"": ""domain-c7""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:04:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""HostSystem"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""ClusterComputeResource"", ""moid"": ""domain-c7""}, ""name"": ""apps-esxi60-1.sv.splunk.com""}, ""moid"": ""host-10""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:05:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""HostSystem"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""ClusterComputeResource"", ""moid"": ""domain-c7""}, ""name"": ""apps-esxi60-2.sv.splunk.com""}, ""moid"": ""host-21""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:06:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""apps-esxi60-1-win2k12r2-1""}, ""moid"": ""vm-16""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:07:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""apps-esxi60-\u7b2c\u4e00-centos7-1""}, ""moid"": ""vm-18""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:08:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""apps-esxi60-\u7b2c\u4e00-1-centos7-2""}, ""moid"": ""vm-19""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:09:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v25""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""IO-WIN7-thin""}, ""moid"": ""vm-29""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:10:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-27""}, ""moid"": ""vm-50""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:11:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""apps-esxi60-\u7b2c\u4e00-1-solaris11-1""}, ""moid"": ""vm-20""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:12:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-21""}, ""moid"": ""vm-54""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:13:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-16""}, ""moid"": ""vm-43""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:14:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-13""}, ""moid"": ""vm-42""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:15:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v25""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""minimal_centos6.3""}, ""moid"": ""vm-27""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:16:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-23""}, ""moid"": ""vm-55""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:17:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v25""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""soln_ubuntu_ish_template""}, ""moid"": ""vm-28""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:18:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-40""}, ""moid"": ""vm-66""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:19:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v25""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""IO-WIN7""}, ""moid"": ""vm-26""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:20:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-8""}, ""moid"": ""vm-40""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:21:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-1""}, ""moid"": ""vm-30""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:22:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-18""}, ""moid"": ""vm-47""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:23:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-9""}, ""moid"": ""vm-35""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:24:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-28""}, ""moid"": ""vm-58""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:25:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-12""}, ""moid"": ""vm-37""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:26:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-5""}, ""moid"": ""vm-34""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:27:37"
"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""collectionVersion"": ""1"", ""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v3""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-8""}, ""name"": ""io-win7-7""}, ""moid"": ""vm-38""}","sv3-app-vctr60.sv.splunk.com","vmware-inv","VMInv:Hierarchy","vmware:inv:hierarchy","2016-06-22 04:28:37"
