"_raw",host,index,source,sourcetype,time
"moid	uuid	instance	samp_int	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_totalWriteLatency_millisecond	p_average_datastore_numberReadAveraged_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_latest_datastore_maxTotalLatency_millisecond	storage_committed	storage_uncommitted	datastore_capacity	datastore_freespace
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20							0	0	192053248		
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026893	52626981397	122675003392	82058412032
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20							0	5548026893	52626981397		
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20							0	1054445090	52632657920		
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20							0	1054445090	52632657920		
vm-106	500a0cec-1025-f432-77a5-7094b548605d	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154459	13958644248	122675003392	82058412032
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20							0	3392154459	13958644248		
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026901	52626981399	122675003392	82058412032
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20							0	5548026901	52626981399		
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	6ead15c4-fce65468	20	0	0	0	0	0	0		847258	13958643712	536870912000	512661868544
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20							0	847258	13958643712		
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5555067405	52626981399	122675003392	82058412032
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20							0	5555067405	52626981399		
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	6ead15c4-fce65468	20	0	0	0	0	0	0		1055143064	52632657920	536870912000	512661868544
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20							0	1055143064	52632657920		
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548239537	52626981397	122675003392	82058412032
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20							0	5548239537	52626981397		
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392322365	13958644248	122675003392	82058412032
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20							0	3392322365	13958644248		
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548218006	52626981399	122675003392	82058412032
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20							0	5548218006	52626981399		
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154455	13958644247	122675003392	82058412032
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20							0	3392154455	13958644247		","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:datastore","2016-06-20 03:33:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_totalWriteLatency_millisecond	p_average_datastore_numberReadAveraged_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_latest_datastore_maxTotalLatency_millisecond	storage_committed	storage_uncommitted	datastore_capacity	datastore_freespace
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20							0	0	192053248		
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026893	52626981397	122675003392	82058412032
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20							0	5548026893	52626981397		
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20							0	1054445090	52632657920		
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20							0	1054445090	52632657920		
vm-106	500a0cec-1025-f432-77a5-7094b548605d	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154459	13958644248	122675003392	82058412032
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20							0	3392154459	13958644248		
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026901	52626981399	122675003392	82058412032
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20							0	5548026901	52626981399		
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	6ead15c4-fce65468	20	0	0	0	0	0	0		847258	13958643712	536870912000	512661868544
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20							0	847258	13958643712		
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5555067405	52626981399	122675003392	82058412032
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20							0	5555067405	52626981399		
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	6ead15c4-fce65468	20	0	0	0	0	0	0		1055143064	52632657920	536870912000	512661868544
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20							0	1055143064	52632657920		
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548239537	52626981397	122675003392	82058412032
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20							0	5548239537	52626981397		
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392322365	13958644248	122675003392	82058412032
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20							0	3392322365	13958644248		
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548218006	52626981399	122675003392	82058412032
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20							0	5548218006	52626981399		
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154455	13958644247	122675003392	82058412032
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20							0	3392154455	13958644247		","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:datastore","2016-06-20 03:34:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_totalWriteLatency_millisecond	p_average_datastore_numberReadAveraged_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_latest_datastore_maxTotalLatency_millisecond	storage_committed	storage_uncommitted	datastore_capacity	datastore_freespace
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20							0	0	192053248		
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026893	52626981397	122675003392	82058412032
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20							0	5548026893	52626981397		
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20							0	1054445090	52632657920		
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20							0	1054445090	52632657920		
vm-106	500a0cec-1025-f432-77a5-7094b548605d	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154459	13958644248	122675003392	82058412032
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20							0	3392154459	13958644248		
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026901	52626981399	122675003392	82058412032
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20							0	5548026901	52626981399		
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	6ead15c4-fce65468	20	0	0	0	0	0	0		847258	13958643712	536870912000	512661868544
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20							0	847258	13958643712		
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5555067405	52626981399	122675003392	82058412032
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20							0	5555067405	52626981399		
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	6ead15c4-fce65468	20	0	0	0	0	0	0		1055143064	52632657920	536870912000	512661868544
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20							0	1055143064	52632657920		
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548239537	52626981397	122675003392	82058412032
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20							0	5548239537	52626981397		
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392322365	13958644248	122675003392	82058412032
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20							0	3392322365	13958644248		
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548218006	52626981399	122675003392	82058412032
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20							0	5548218006	52626981399		
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154455	13958644247	122675003392	82058412032
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20							0	3392154455	13958644247		","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:datastore","2016-06-20 03:33:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	615	256	0	2	0	6	0	0	0	0	438	6	615	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	131584	153	31	0	0	0	7	154112	0	0	134	164	4	144	0	3	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:35:40.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	692	256	0	2	0	6	0	0	0	0	484	6	692	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	3072	0	31	0	0	0	2	0	0	0	181	218	0	181	0	2	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:35:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	769	256	0	2	0	6	0	0	0	0	444	6	769	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	164864	157	31	0	0	0	8	170496	0	0	128	158	4	142	0	4	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:34:40.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	653	256	0	2	0	6	0	0	0	0	626	6	653	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	134656	140	31	0	0	0	9	136192	0	0	159	175	3	152	0	6	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:30:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_totalWriteLatency_millisecond	p_average_datastore_numberReadAveraged_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_latest_datastore_maxTotalLatency_millisecond	storage_committed	storage_uncommitted	datastore_capacity	datastore_freespace
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20							0	0	192053248		
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026893	52626981397	122675003392	82058412032
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20							0	5548026893	52626981397		
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20							0	1054445090	52632657920		
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	6ead15c4-fce65468	20	0	0	0	0	0	0		1054445090	52632657920	536870912000	512661868544
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20							0	1054445090	52632657920		
vm-106	500a0cec-1025-f432-77a5-7094b548605d	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154459	13958644248	122675003392	82058412032
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20							0	3392154459	13958644248		
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548026901	52626981399	122675003392	82058412032
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20							0	5548026901	52626981399		
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	6ead15c4-fce65468	20	0	0	0	0	0	0		847258	13958643712	536870912000	512661868544
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20							0	847258	13958643712		
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5555067405	52626981399	122675003392	82058412032
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20							0	5555067405	52626981399		
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	6ead15c4-fce65468	20	0	0	0	0	0	0		1055143064	52632657920	536870912000	512661868544
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20							0	1055143064	52632657920		
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548239537	52626981397	122675003392	82058412032
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20							0	5548239537	52626981397		
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392322365	13958644248	122675003392	82058412032
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20							0	3392322365	13958644248		
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		5548218006	52626981399	122675003392	82058412032
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20							0	5548218006	52626981399		
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	0	0	0	0	0		3392154455	13958644247	122675003392	82058412032
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20							0	3392154455	13958644247		","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:datastore","2016-06-20 03:31:20.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	653	256	0	2	0	6	0	0	0	0	463	6	653	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	0	233	31	2	0	0	2	12800	0	0	0	251	2	233	0	0	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:30:40.000000 PDT"
"moid	uuid	instance	samp_int	p_latest_datastore_datastoreReadBytes_number	p_latest_datastore_datastoreNormalWriteLatency_number	p_latest_datastore_datastoreMaxQueueDepth_number	p_average_datastore_write_kiloBytesPerSecond	p_average_datastore_numberWriteAveraged_number	p_average_datastore_read_kiloBytesPerSecond	p_average_datastore_datastoreIops_number	p_latest_datastore_datastoreWriteBytes_number	p_latest_datastore_datastoreWriteLoadMetric_number	p_average_datastore_totalWriteLatency_millisecond	p_latest_datastore_datastoreNormalReadLatency_number	p_latest_datastore_datastoreVMObservedLatency_microsecond	p_latest_datastore_datastoreWriteIops_number	p_average_datastore_sizeNormalizedDatastoreLatency_microsecond	p_latest_datastore_datastoreReadOIO_number	p_latest_datastore_datastoreReadIops_number	p_average_datastore_numberReadAveraged_number	p_latest_datastore_datastoreWriteOIO_number	p_average_datastore_totalReadLatency_millisecond	p_average_datastore_siocActiveTimePercentage_percent	p_latest_datastore_maxTotalLatency_millisecond	p_latest_datastore_datastoreReadLoadMetric_number	datastore_capacity	datastore_freespace
host-10	00000000-0000-0000-0000-002590d3fca0	6ead15c4-fce65468	20	0	500	256	0	2	0	6	0	0	0	0	481	6	500	0	0	0	0	0	0.0		0	536870912000	512661868544
host-10	00000000-0000-0000-0000-002590d3fca0	5294d8a9-9dbca4b8-2cee-002590d3fca1	20	532992	0	31	1	0	0	19	0	0	0	181	201	0	181	0	19	0	0	0	0.0		0	122675003392	82058412032
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20																					0			","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:datastore","2016-06-20 03:30:20.000000 PDT"
