"_raw",host,index,source,sourcetype,time
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	0	31	10	24	0	0	0	0	1			0	0	0	12	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									0					0				0	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:34:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	0	31	11	104	0	105	0	0	5			0	0	4	91	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									0					105				105	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:33:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	0	31	10	24	0	0	0	0	1			0	0	0	12	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									0					0				0	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:35:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_numberWriteAveraged_number	p_summation_disk_commands_number	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_write_kiloBytesPerSecond	p_summation_disk_commandsAborted_number	p_summation_disk_numberWrite_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_summation_disk_busResets_number	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20			0									
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20			0	0	0							0
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20			0									
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20			0									
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20			0	0	0							0
vm-106	500a0cec-1025-f432-77a5-7094b548605d	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20			0	0	0							0
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20			0									
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20			0	0	0							0
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20			0									
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20			0	0	0							0
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	2		0	0	0	2	0	0	0	0	
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20			0	0	0							0
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20			0	0	0							0
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20			0	0	0							0
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:disk","2016-06-20 03:35:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	35	31	33	134	0	136	0	0	6			0	1	5	101	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									35					136				171	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:34:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	53	31	36	71	0	51	0	0	3			0	1	1	35	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									53					51				105	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:33:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_totalLatency_millisecond	p_average_disk_deviceLatency_millisecond	p_average_disk_queueLatency_millisecond	p_average_disk_totalReadLatency_millisecond	p_summation_disk_busResets_number	p_summation_disk_commandsAborted_number	p_average_disk_totalWriteLatency_millisecond	p_average_disk_kernelLatency_millisecond	p_average_disk_write_kiloBytesPerSecond	p_average_disk_maxQueueDepth_number	p_summation_disk_numberWrite_number	p_summation_disk_commands_number	p_average_disk_kernelWriteLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_kernelReadLatency_millisecond	p_average_disk_queueReadLatency_millisecond	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_queueWriteLatency_millisecond	p_average_disk_numberWriteAveraged_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_average_disk_deviceWriteLatency_millisecond	p_average_disk_deviceReadLatency_millisecond
host-10	00000000-0000-0000-0000-002590d3fca0	t10.FreeBSD_iSCSI_Disk______002590d0fed0050_________________	20	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0			0	0	0	0	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0	0	0	0	0	0	0	56	31	39	75	0	51	0	0	3			0	1	1	34	0	0
host-10	00000000-0000-0000-0000-002590d3fca0	aggregated	20									56					51				108	0						","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:HostSystem","vmware:perf:disk","2016-06-20 03:35:40.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_numberWriteAveraged_number	p_summation_disk_commands_number	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_write_kiloBytesPerSecond	p_summation_disk_commandsAborted_number	p_summation_disk_numberWrite_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_summation_disk_busResets_number	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20			0									
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20			0	0	0							0
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20			0									
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20			0									
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20			0	0	0							0
vm-106	500a0cec-1025-f432-77a5-7094b548605d	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20			0	0	0							0
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20			0									
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20			0	0	0							0
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20			0									
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20			0	0	0							0
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20			0	0	0							0
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20			0	0	0							0
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20			0	0	0							0
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:disk","2016-06-20 03:33:20.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_numberWriteAveraged_number	p_summation_disk_commands_number	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_write_kiloBytesPerSecond	p_summation_disk_commandsAborted_number	p_summation_disk_numberWrite_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_summation_disk_busResets_number	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20			0									
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20			0	0	0							0
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20			0									
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20			0									
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20			0	0	0							0
vm-106	500a0cec-1025-f432-77a5-7094b548605d	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20			0	0	0							0
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20			0									
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20			0	0	0							0
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20			0									
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20			0	0	1							1
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	7		0	1	0	7	0	0	0	0	
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20			0	0	0							0
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20			0	0	0							0
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20			0	0	0							0
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:disk","2016-06-20 03:34:00.000000 PDT"
"moid	uuid	instance	samp_int	p_average_disk_numberWriteAveraged_number	p_summation_disk_commands_number	p_latest_disk_maxTotalLatency_millisecond	p_average_disk_read_kiloBytesPerSecond	p_average_disk_write_kiloBytesPerSecond	p_summation_disk_commandsAborted_number	p_summation_disk_numberWrite_number	p_average_disk_numberReadAveraged_number	p_summation_disk_numberRead_number	p_summation_disk_busResets_number	p_average_disk_commandsAveraged_number	p_average_disk_usage_kiloBytesPerSecond
vm-16	5010d5e0-116d-cc1b-93ad-c1926428df1d	aggregated	20			0									
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	aggregated	20			0	0	0							0
vm-100	500a4e46-2c56-868c-52d3-a0787c97d576	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-102	500a545b-eedc-a757-44c3-f4ab77e041d5	aggregated	20			0									
vm-104	500ae759-b26f-4ede-74a2-e9321e20a359	aggregated	20			0									
vm-106	500a0cec-1025-f432-77a5-7094b548605d	aggregated	20			0	0	0							0
vm-106	500a0cec-1025-f432-77a5-7094b548605d	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	aggregated	20			0	0	0							0
vm-108	500a1fde-2115-724f-ed15-7ff91acaa2e8	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-20	50106d22-1d13-6701-5b52-52a65a18bef9	aggregated	20			0									
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	aggregated	20			0	0	0							0
vm-18	50105786-5b68-04c5-2059-49343d3c73f5	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-19	5010f840-9726-0ab8-525d-fc7142fdde17	aggregated	20			0									
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	aggregated	20			0	0	0							0
vm-98	500a4f89-d278-ca6f-d364-db96f8f75119	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	aggregated	20			0	0	0							0
vm-96	500a50a3-6db3-7803-3fdd-1f925126dae6	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	aggregated	20			0	0	0							0
vm-94	500a78b4-7ced-c9ba-e39d-1f8160289a41	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	aggregated	20			0	0	0							0
vm-110	500a560d-556f-64b7-5f30-43fffd2fd75f	t10.ATA_____Samsung_SSD_840_PRO_Series______________S1ANNSAD756819B_____	20	0	0		0	0	0	0	0	0	0	0	","sv3-app-vctr60.sv.splunk.com","vmware-perf","VMPerf:VirtualMachine","vmware:perf:disk","2016-06-20 03:35:20.000000 PDT"
