"_raw",host,index,source,sourcetype,time
"{""activationId"": ""None"", ""eventChainId"": ""132145"", ""entity"": {""type"": ""HostSystem"", ""moid"": ""host-10""}, ""completeTime"": ""2016-06-19 10:11:34.826000+00:00"", ""startTime"": ""2016-06-19 10:11:34.817999+00:00"", ""name"": ""FetchVsanSharedSecret"", ""entityName"": ""apps-esxi60-1.sv.splunk.com"", ""state"": ""success"", ""cancelled"": ""False"", ""descriptionId"": ""host.VsanSystem.fetchVsanSharedSecret"", ""cancelable"": ""False"", ""task"": {""type"": ""Task"", ""moid"": ""task-225""}, ""key"": ""task-225"", ""queueTime"": ""2016-06-19 10:11:34.810000+00:00"", ""reason"": {""userName"": ""com.vmware.vsan.health""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-19 03:11:34"
"{""error"": {""localizedMessage"": ""Unable to communicate with the remote host, since it is disconnected."", ""fault"": """"}, ""completeTime"": ""2016-06-19 10:11:34.478000+00:00"", ""name"": ""FetchVsanSharedSecret"", ""state"": ""error"", ""cancelled"": ""False"", ""cancelable"": ""False"", ""key"": ""task-224"", ""queueTime"": ""2016-06-19 10:11:34.457999+00:00"", ""activationId"": ""None"", ""eventChainId"": ""132144"", ""entity"": {""type"": ""HostSystem"", ""moid"": ""host-21""}, ""startTime"": ""2016-06-19 10:11:34.465000+00:00"", ""descriptionId"": ""host.VsanSystem.fetchVsanSharedSecret"", ""task"": {""type"": ""Task"", ""moid"": ""task-224""}, ""entityName"": ""apps-esxi60-2.sv.splunk.com"", ""reason"": {""userName"": ""com.vmware.vsan.health""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-19 03:12:34"
"{""activationId"": ""None"", ""eventChainId"": ""132143"", ""entity"": {""type"": ""HostSystem"", ""moid"": ""host-10""}, ""completeTime"": ""2016-06-19 10:11:34.783999+00:00"", ""startTime"": ""2016-06-19 10:11:34.386000+00:00"", ""name"": ""UpdateOptions"", ""entityName"": ""apps-esxi60-1.sv.splunk.com"", ""state"": ""success"", ""cancelled"": ""False"", ""descriptionId"": ""option.OptionManager.updateValues"", ""cancelable"": ""False"", ""task"": {""type"": ""Task"", ""moid"": ""task-223""}, ""key"": ""task-223"", ""queueTime"": ""2016-06-19 10:11:34.368000+00:00"", ""reason"": {""userName"": ""com.vmware.vsan.health""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-19 03:13:34"
"{""eventChainId"": ""135918"", ""cancelled"": ""False"", ""name"": ""FetchVsanSharedSecret"", ""key"": ""task-227"", ""descriptionId"": ""host.VsanSystem.fetchVsanSharedSecret"", ""startTime"": ""2016-06-20 06:53:05.926999+00:00"", ""entityName"": ""apps-esxi60-1.sv.splunk.com"", ""completeTime"": ""2016-06-20 06:53:05.937000+00:00"", ""entity"": {""moid"": ""host-10"", ""type"": ""HostSystem""}, ""state"": ""success"", ""cancelable"": ""False"", ""activationId"": ""None"", ""reason"": {""userName"": ""com.vmware.vsan.health""}, ""queueTime"": ""2016-06-20 06:53:05.919999+00:00"", ""task"": {""moid"": ""task-227"", ""type"": ""Task""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-19 23:53:05"
"{""eventChainId"": ""135917"", ""cancelled"": ""False"", ""name"": ""UpdateOptions"", ""key"": ""task-226"", ""descriptionId"": ""option.OptionManager.updateValues"", ""startTime"": ""2016-06-20 06:53:05.493999+00:00"", ""entityName"": ""apps-esxi60-1.sv.splunk.com"", ""completeTime"": ""2016-06-20 06:53:05.889999+00:00"", ""entity"": {""moid"": ""host-10"", ""type"": ""HostSystem""}, ""state"": ""success"", ""cancelable"": ""False"", ""activationId"": ""None"", ""reason"": {""userName"": ""com.vmware.vsan.health""}, ""queueTime"": ""2016-06-20 06:53:05.477000+00:00"", ""task"": {""moid"": ""task-226"", ""type"": ""Task""}}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-19 23:54:05"
"{""queueTime"": ""2016-06-20 07:23:04.690999+00:00"", ""startTime"": ""2016-06-20 07:23:04.700999+00:00"", ""cancelled"": ""False"", ""eventChainId"": ""136017"", ""reason"": {""userName"": ""com.vmware.vsan.health""}, ""descriptionId"": ""host.VsanSystem.fetchVsanSharedSecret"", ""entityName"": ""apps-esxi60-2.sv.splunk.com"", ""error"": {""fault"": """", ""localizedMessage"": ""Unable to communicate with the remote host, since it is disconnected.""}, ""entity"": {""moid"": ""host-21"", ""type"": ""HostSystem""}, ""cancelable"": ""False"", ""activationId"": ""None"", ""state"": ""error"", ""task"": {""moid"": ""task-228"", ""type"": ""Task""}, ""name"": ""FetchVsanSharedSecret"", ""key"": ""task-228"", ""completeTime"": ""2016-06-20 07:23:04.716999+00:00""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-20 00:23:04"
"{""cancelable"": ""True"", ""descriptionId"": ""VirtualMachine.powerOn"", ""startTime"": ""2016-06-20 09:48:10.931000+00:00"", ""description"": {""message"": ""Powering on the new Virtual Machine"", ""key"": ""com.vmware.vim.vpxd.vpx.vmprov.PowerOnVm""}, ""rootTaskKey"": ""task-229"", ""state"": ""running"", ""task"": {""moid"": ""task-230"", ""type"": ""Task""}, ""cancelled"": ""False"", ""queueTime"": ""2016-06-20 09:48:10.582000+00:00"", ""reason"": {""userName"": ""SPLUNK\\trapti""}, ""eventChainId"": ""136607"", ""entityName"": ""apps-esxi60-\u7b2c\u4e00-1-solaris11-1"", ""key"": ""task-230"", ""entity"": {""moid"": ""vm-20"", ""type"": ""VirtualMachine""}, ""activationId"": ""522a2c1b-b745-b4cb-ae15-69a596e80e02"", ""parentTaskKey"": ""task-229""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-20 02:48:10"
"{""cancelable"": ""False"", ""descriptionId"": ""Datacenter.powerOnVm"", ""startTime"": ""2016-06-20 09:48:10.570999+00:00"", ""result"": {""attempted"": [{""vm"": {""moid"": ""vm-20"", ""type"": ""VirtualMachine""}, ""task"": {""moid"": ""task-230"", ""type"": ""Task""}}]}, ""state"": ""success"", ""task"": {""moid"": ""task-229"", ""type"": ""Task""}, ""name"": ""PowerOnMultiVM_Task"", ""cancelled"": ""False"", ""queueTime"": ""2016-06-20 09:48:10.557000+00:00"", ""reason"": {""userName"": ""SPLUNK\\trapti""}, ""completeTime"": ""2016-06-20 09:48:10.881000+00:00"", ""eventChainId"": ""136606"", ""entityName"": ""APPS-VCENTER60"", ""key"": ""task-229"", ""entity"": {""moid"": ""datacenter-2"", ""type"": ""Datacenter""}, ""activationId"": ""None""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-20 02:49:10"
"{""cancelable"": ""False"", ""descriptionId"": ""VirtualMachine.powerOn"", ""startTime"": ""2016-06-20 09:48:16.713999+00:00"", ""rootTaskKey"": ""task-231"", ""state"": ""success"", ""task"": {""moid"": ""task-232"", ""type"": ""Task""}, ""cancelled"": ""False"", ""queueTime"": ""2016-06-20 09:48:16.603999+00:00"", ""reason"": {""userName"": ""SPLUNK\\trapti""}, ""completeTime"": ""2016-06-20 09:48:18.263000+00:00"", ""eventChainId"": ""136610"", ""entityName"": ""apps-esxi60-\u7b2c\u4e00-centos7-1"", ""key"": ""task-232"", ""entity"": {""moid"": ""vm-18"", ""type"": ""VirtualMachine""}, ""activationId"": ""522a2c1b-b745-b4cb-ae15-69a596e80e02"", ""parentTaskKey"": ""task-231""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-20 02:49:16"
"{""cancelable"": ""False"", ""descriptionId"": ""Datacenter.powerOnVm"", ""startTime"": ""2016-06-20 09:48:16.600000+00:00"", ""result"": {""attempted"": [{""vm"": {""moid"": ""vm-18"", ""type"": ""VirtualMachine""}, ""task"": {""moid"": ""task-232"", ""type"": ""Task""}}]}, ""state"": ""success"", ""task"": {""moid"": ""task-231"", ""type"": ""Task""}, ""name"": ""PowerOnMultiVM_Task"", ""cancelled"": ""False"", ""queueTime"": ""2016-06-20 09:48:16.594000+00:00"", ""reason"": {""userName"": ""SPLUNK\\trapti""}, ""completeTime"": ""2016-06-20 09:48:16.714999+00:00"", ""eventChainId"": ""136609"", ""entityName"": ""APPS-VCENTER60"", ""key"": ""task-231"", ""entity"": {""moid"": ""datacenter-2"", ""type"": ""Datacenter""}, ""activationId"": ""None""}","sv3-app-vctr60.sv.splunk.com","vmware-taskevent","Username:N/A","vmware:tasks","2016-06-20 02:50:16"
